,movieId,imdbId
0,1,114709
1,2,113497
2,3,113228
3,4,114885
4,5,113041
5,6,113277
6,7,114319
7,8,112302
8,9,114576
9,10,113189
10,11,112346
11,12,112896
12,13,112453
13,14,113987
14,15,112760
15,16,112641
16,17,114388
17,18,113101
18,19,112281
19,20,113845
20,21,113161
21,22,112722
22,23,112401
23,24,114168
24,25,113627
25,26,114057
26,27,114011
27,28,114117
28,29,112682
29,30,115012
30,31,112792
31,32,114746
32,33,114952
33,34,112431
34,35,112637
35,36,112818
36,37,112286
37,38,113442
38,39,112697
39,40,112749
40,41,114279
41,42,112819
42,43,114272
43,44,113855
44,45,114681
45,46,113347
46,47,114369
47,48,114148
48,49,114916
49,50,114814
50,51,109950
51,52,113819
52,53,110299
53,54,112499
54,55,113158
55,56,113541
56,57,113321
57,58,110877
58,59,112714
59,60,113419
60,61,116260
61,62,113862
62,63,116126
63,64,118002
64,65,115683
65,66,116839
66,67,114753
67,68,113149
68,69,113118
69,70,116367
70,71,113010
71,72,113537
72,73,113828
73,74,115644
74,75,115676
75,76,114367
76,77,113973
77,78,112744
78,79,116731
79,80,112445
80,81,114660
81,82,112379
82,83,114039
83,84,113612
84,85,112365
85,86,118158
86,87,116151
87,88,115697
88,89,113972
89,90,113490
90,92,117002
91,93,114825
92,94,115639
93,95,115759
94,96,113403
95,97,113247
96,98,111173
97,99,113283
98,100,115907
99,101,115734
100,102,117102
101,103,118040
102,104,116483
103,105,112579
104,106,110251
105,107,117110
106,108,112646
107,109,113276
108,110,112573
109,111,75314
110,112,113326
111,113,115645
112,114,113774
113,115,112556
114,116,112373
115,117,115033
116,118,116606
117,119,114536
118,120,117427
119,121,106473
120,122,103859
121,123,109424
122,124,114808
123,125,116324
124,126,110647
125,127,111055
126,128,110217
127,129,114131
128,130,112364
129,131,113107
130,132,113451
131,133,114015
132,134,114500
133,135,116130
134,136,113125
135,137,113756
136,138,113952
137,139,114618
138,140,118055
139,141,115685
140,142,94878
141,143,113200
142,144,112585
143,145,112442
144,146,112342
145,147,112461
146,148,112427
147,149,109093
148,150,112384
149,151,114287
150,152,112288
151,153,112462
152,154,61395
153,155,112495
154,156,112541
155,157,109370
156,158,112642
157,159,112688
158,160,112715
159,161,112740
160,162,109508
161,163,112851
162,164,112857
163,165,112864
164,166,112887
165,167,113044
166,168,113071
167,169,113114
168,170,113243
169,171,113464
170,172,113481
171,173,113492
172,174,113500
173,175,113540
174,176,113677
175,177,113690
176,178,107447
177,179,113729
178,180,113749
179,181,113820
180,182,113851
181,183,110604
182,184,110620
183,185,113957
184,186,113986
185,187,114095
186,188,114194
187,189,114241
188,190,114323
189,191,114345
190,192,114435
191,193,114436
192,194,114478
193,195,114496
194,196,114508
195,197,114534
196,198,114558
197,199,58450
198,200,114666
199,201,114663
200,202,114702
201,203,114682
202,204,114781
203,205,114798
204,206,114805
205,207,114887
206,208,114898
207,209,114928
208,210,114938
209,211,109340
210,212,112602
211,213,111579
212,214,110882
213,215,112471
214,216,112508
215,217,112438
216,218,112571
217,219,112757
218,220,112643
219,222,112679
220,223,109445
221,224,112883
222,225,109635
223,226,112899
224,227,109676
225,228,112854
226,229,109579
227,230,109642
228,231,109686
229,232,111797
230,233,109759
231,234,109758
232,235,109707
233,236,113117
234,237,113097
235,238,113028
236,239,113198
237,240,113303
238,241,113089
239,242,109771
240,243,113199
241,244,113234
242,245,109906
243,246,110057
244,247,110005
245,248,110066
246,249,110116
247,250,110006
248,251,113360
249,252,110099
250,253,110148
251,254,113463
252,255,110189
253,256,110216
254,257,113501
255,258,113538
256,259,113552
257,260,76759
258,261,110367
259,262,113670
260,263,110296
261,264,109731
262,265,103994
263,266,110322
264,267,110443
265,268,110365
266,269,107566
267,270,110391
268,271,113691
269,272,110428
270,273,109836
271,274,113755
272,275,110538
273,276,110516
274,277,110527
275,278,113808
276,279,113896
277,280,113870
278,281,110684
279,282,110638
280,283,113967
281,284,117169
282,285,106402
283,286,113948
284,287,110671
285,288,110632
286,289,110737
287,290,110729
288,292,114069
289,293,110413
290,294,114113
291,295,114210
292,296,110912
293,297,114084
294,298,105652
295,299,110889
296,300,110932
297,301,114129
298,302,110963
299,303,114214
300,304,114296
301,305,110907
302,306,111495
303,307,108394
304,308,111507
305,309,110769
306,310,114268
307,311,110965
308,312,114571
309,313,111333
310,314,111112
311,315,111255
312,316,111282
313,317,111070
314,318,111161
315,319,111149
316,320,108260
317,321,106966
318,322,114594
319,324,111309
320,325,113936
321,326,110081
322,327,114614
323,328,114608
324,329,111280
325,330,114609
326,331,111454
327,332,114852
328,333,114694
329,334,111590
330,335,114788
331,336,114888
332,337,108550
333,338,114857
334,339,114924
335,340,111667
336,341,109655
337,342,110598
338,343,112435
339,344,109040
340,345,109045
341,346,106339
342,347,104779
343,348,109348
344,349,109444
345,350,109446
346,351,109484
347,352,109504
348,353,109506
349,354,109450
350,355,109813
351,356,109830
352,357,109831
353,358,113305
354,359,110091
355,360,110093
356,361,110167
357,362,110213
358,363,107472
359,364,110357
360,365,107426
361,366,111686
362,367,110475
363,368,110478
364,369,110588
365,370,110622
366,371,110771
367,372,110950
368,373,105226
369,374,110989
370,375,111054
371,376,110997
372,377,111257
373,378,111256
374,379,111438
375,380,111503
376,381,111693
377,382,111742
378,383,111756
379,384,112443
380,385,110455
381,386,111048
382,387,110399
383,388,112570
384,389,109454
385,390,59170
386,391,110186
387,392,108069
388,393,111301
389,394,112702
390,395,112849
391,396,113014
392,397,113043
393,398,113104
394,399,113173
395,400,113319
396,401,113827
397,402,114047
398,403,112889
399,404,109339
400,405,110027
401,406,109785
402,407,113409
403,408,109021
404,409,109035
405,410,106220
406,411,111804
407,412,106226
408,413,109068
409,414,109067
410,415,106292
